stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.11910] added dtor for sub_bitmap 02798630, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11914] added dtor for sub_bitmap 02797868, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11918] added dtor for sub_bitmap 027984a8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11921] added dtor for sub_bitmap 027973d0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11925] added dtor for sub_bitmap 02797b78, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11929] added dtor for sub_bitmap 02796db0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11932] added dtor for sub_bitmap 02797d00, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11936] added dtor for sub_bitmap 02797248, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11940] added dtor for sub_bitmap 02797558, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11944] added dtor for sub_bitmap 02797e88, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11949] added dtor for sub_bitmap 027979f0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11955] added dtor for sub_bitmap 02798320, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11959] added dtor for sub_bitmap 027970c0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11964] added dtor for sub_bitmap 02796f38, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11968] added dtor for sub_bitmap 027987b8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11972] added dtor for sub_bitmap 027976e0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11976] added dtor for sub_bitmap 02796aa0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11980] added dtor for sub_bitmap 02798010, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11983] added dtor for sub_bitmap 02798198, func 72851ca6
