stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.12175] added dtor for sub_bitmap 02787500, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12179] added dtor for sub_bitmap 02787688, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12183] added dtor for sub_bitmap 02787e30, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12186] added dtor for sub_bitmap 02788140, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12190] added dtor for sub_bitmap 02788450, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12194] added dtor for sub_bitmap 027890f0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12198] added dtor for sub_bitmap 02789d30, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12201] added dtor for sub_bitmap 02789278, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12205] added dtor for sub_bitmap 02789400, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12209] added dtor for sub_bitmap 02789710, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12213] added dtor for sub_bitmap 0278a4d8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12216] added dtor for sub_bitmap 02789588, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12220] added dtor for sub_bitmap 02788948, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12224] added dtor for sub_bitmap 0278a660, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12227] added dtor for sub_bitmap 02789898, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12231] added dtor for sub_bitmap 0278a1c8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12235] added dtor for sub_bitmap 02789a20, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12238] added dtor for sub_bitmap 02789eb8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12242] added dtor for sub_bitmap 02789ba8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12246] added dtor for sub_bitmap 0278a040, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12250] added dtor for sub_bitmap 0278a350, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12254] added dtor for sub_bitmap 02788ad0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12258] added dtor for sub_bitmap 02788c58, func 72851ca6
